source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Trump kicks off 2024 bid with events in early voting states,Former President Donald Trump is set to kick off his 2024 White House bid with visits to a pair of early voting states,MEG KINNARD and JILL COLVIN Associated Press,2023-01-28 05:53:47+00:00,https://abcnews.go.com/Politics/wireStory/trump-kicks-off-2024-bid-events-early-voting-96736372,0.0,0.0,1.0,0.0,0.0
ABC News,DeSantis eyes 2024 from afar as GOP rivals move toward runs,"Florida Gov. Ron DeSantis may be months away from publicly declaring his presidential intentions, but his potential rivals aren’t holding back","STEVE PEOPLES, THOMAS BEAUMONT and ANTHONY IZAGUIRRE Associated Press",2023-02-03 05:54:21+00:00,https://abcnews.go.com/Politics/wireStory/desantis-eyes-2024-afar-gop-rivals-move-runs-96868349,0.0,0.0,1.0,0.0,0.0
ABC News,"Trump kicks off presidential campaign in New Hampshire, South Carolina","South Carolina is taking a ""wait and see"" approach with Trump, observers say.",Mariam Khan,2023-01-28 10:12:53+00:00,https://abcnews.go.com/Politics/trump-kicks-off-presidential-campaign-new-hampshire-south/story?id=96700894,0.0,0.0,1.0,0.0,0.0
ABC News,Former South Carolina Gov. Nikki Haley expected to announce presidential run: Sources,"Former South Carolina Gov. Nikki Haley is expected to announce her run for president in the coming weeks, according to sources familiar.","Rachel Scott, Katherine Faulders",2023-02-01 04:21:41+00:00,https://abcnews.go.com/Politics/former-south-carolina-gov-nikki-haley-expected-announce/story?id=96808464,0.0,0.0,1.0,0.0,0.0
Associated Press,Trump kicks off 2024 run with stops in early-voting states...,"COLUMBIA, S.C. (AP) — Former President Donald Trump  is set to kick off his 2024 White House bid on Saturday with visits to a pair of early-voting states, his first campaign events since announcing his latest run  more than two months ago.",Meg Kinnard,2023-01-28 14:28:37+00:00,https://apnews.com/article/abortion-politics-new-hampshire-state-government-south-carolina-2022-midterm-elections-7624d58296aa9b808032e2edbcd166c3,-1.0,0.211,0.789,0.0,-0.1531
Associated Press,Trump kicking off 2024 run with stops in early-voting states - The Associated Press,"<ol><li>Trump kicking off 2024 run with stops in early-voting states  The Associated Press
</li><li>Trump Tries a New Campaign Tack: Small-Scale  The New York Times
</li><li>Former President Donald Trump to visit South Carolina on Saturday  News 19 WLTX
</…","Meg Kinnard, Holly Ramer",2023-01-28 13:07:30+00:00,https://apnews.com/7624d58296aa9b808032e2edbcd166c3,-1.0,0.151,0.849,0.0,-0.1531
Associated Press,Nikki Haley planning Feb. 15 launch for 2024 White House bid,"Nikki Haley is moving closer to making her presidential campaign official. On Wednesday, supporters of the former South Carolina governor will get an email invitation to a Feb. 15 launch event in Charleston, at which she plans to announce her…",By MEG KINNARD - Associated Press,2023-02-01 03:58:00+00:00,https://apnews.com/87487ec1d99e3f92125348fbcb0d7a5e,0.0,0.0,1.0,0.0,0.0
Associated Press,"In Iowa, potential 2024 GOP Trump challengers quiet for now","The presidential campaign landscape in Iowa is markedly different this year compared with four years ago. In 2019, at least a dozen Democratic hopefuls eager to make their case against the Republican incumbent, Donald Trump, had either visited Iowa or…",By THOMAS BEAUMONT - Associated Press,2023-01-31 05:39:46+00:00,https://apnews.com/aa8f72fb2aa39553dc05ad9e778f74a3,1.0,0.0,0.833,0.167,0.1027
BBC News,Nikki Haley poised to enter 2024 presidential race,The former UN ambassador will reportedly announce a presidential run at an event on 15 February.,https://www.facebook.com/bbcnews,2023-02-01 21:08:45+00:00,https://www.bbc.co.uk/news/world-us-canada-64489485,1.0,0.0,0.75,0.25,0.25
Bloomberg,"Debt Talks, Nikki Haley in 2024, Gas Stove Wars (Radio)",Bloomberg Washington Correspondent Joe Mathieu delivers insight and analysis on the latest headlines from the White House and Capitol Hill.,,2023-02-01 23:45:37+00:00,https://www.bloomberg.com/news/audio/2023-02-01/debt-talks-nikki-haley-in-2024-gas-stove-wars-radio,-1.0,0.466,0.534,0.0,-0.7269
