source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Conservative groups look beyond Trump for 2024 GOP nominee,Two major conservative groups have signaled they are open to supporting someone other than Donald Trump in the 2024 race for the White House,MICHELLE L. PRICE Associated Press,2023-02-07 20:54:32+00:00,https://abcnews.go.com/Politics/wireStory/conservative-groups-trump-2024-gop-nominee-96958905,0.0,0.0,1.0,0.0,0.0
ABC News,US-Best-Sellers-Books-PW,US-Best-Sellers-Books-PW for week ending 2/4/2023,The Associated Press,2023-02-09 19:53:38+00:00,https://abcnews.go.com/Entertainment/wireStory/us-best-sellers-books-pw-97013355,0.0,0.0,1.0,0.0,0.0
Associated Press,Conservative groups look beyond Trump for 2024 GOP nominee,Two major conservative groups have signaled they are open to supporting someone other than Donald Trump in the 2024 race for the White House. Club for Growth President David McIntosh says his group has invited a half dozen potential Republican…,By MICHELLE L. PRICE - Associated Press,2023-02-07 20:41:38+00:00,https://apnews.com/200055deeb8f91d9bbbb16882110332d,0.0,0.0,1.0,0.0,0.0
Bloomberg,Is DeSantis Running for President? Latest News,"Governor Ron DeSantis is actively preparing a run for president in 2024, even as he delays a formal announcement to keep Republican voters’ attention on his aggressively conservative record in Florida, according to people familiar with the plans.",Nancy Cook,2023-02-10 22:48:43+00:00,https://www.bloomberg.com/news/articles/2023-02-10/desantis-preps-2024-bid-behind-scenes-while-waiting-to-declare,0.0,0.0,1.0,0.0,0.0
Breitbart News,Poll: Donald Trump Double Digits Ahead of Potential GOP Challengers,"Former President Donald Trump is ahead of his potential 2024 Republican challengers by double digits, a Tuesday Morning Consult survey found.","Hannah Bleau, Hannah Bleau",2023-02-08 21:07:55+00:00,https://www.breitbart.com/politics/2023/02/08/poll-donald-trump-double-digits-ahead-of-potential-gop-challengers/,1.0,0.0,0.851,0.149,0.1027
Breitbart News,Sununu: Donald Trump Can Not Beat Joe Biden in 2024,"Governor Chris Sununu (R-NH) said Sunday on ABC's ""This Week"" that former President Donald Trump could not beat President Joe Biden in 2024. | Clips","Pam Key, Pam Key",2023-02-05 17:00:53+00:00,https://www.breitbart.com/clips/2023/02/05/sununu-donald-trump-can-not-beat-biden-in-2024/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Poll: Trump Takes Lead over Biden on Eve of State of the Union Address,"Former President Donald Trump, a Republican, has taken a lead over current President Joe Biden, a Democrat, on the eve of the latter’s planned State of the Union address this week in Congress, a poll shows.","Matthew Boyle, Matthew Boyle",2023-02-05 17:49:43+00:00,https://www.breitbart.com/politics/2023/02/05/poll-trump-takes-lead-biden-eve-state-union-address/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Arizona's Kari Lake Endorses Donald Trump for President,"Arizona Republican Kari Lake endorsed former President Donald J. Trump for president while speaking in Iowa on Friday.  Lake, who was the Republican nominee in Arizona’s gubernatorial race last year, made her announcement during a meet-and-greet event hosted …","Nick Gilbertson, Nick Gilbertson",2023-02-11 00:10:55+00:00,https://www.breitbart.com/politics/2023/02/10/arizonas-kari-lake-endorses-donald-trump-for-president/,1.0,0.0,0.714,0.286,0.34
Breitbart News,Cruz: Biden 'Allowed a Full Week for the Chinese to Conduct Spying Operations over the United States',"Senator Ted Cruz (R-TX) said Sunday on CBS's ""Face the Nation"" that President Joe Biden allowed China to spy on the United States for a week by not shooting down the Chinese balloon. | Clips","Pam Key, Pam Key",2023-02-05 18:53:47+00:00,https://www.breitbart.com/clips/2023/02/05/cruz-biden-allowed-a-full-week-for-the-chinese-to-conduct-spying-operations-over-the-united-states/,1.0,0.0,0.781,0.219,0.4215
Breitbart News,Poll: Trump Boasts Highest Favorability in Hypothetical 2024 Republican Field,"Former President Donald Trump boasts the highest favorability in a hypothetical 2024 Republican presidential primary, a Morning Consult survey released this week found.","Hannah Bleau, Hannah Bleau",2023-02-10 19:07:53+00:00,https://www.breitbart.com/2024-election/2023/02/10/poll-trump-boasts-highest-favorability-hypothetical-2024-republican-field/,0.0,0.0,1.0,0.0,0.0
